Centro,Tipologia,Id encuesta,Total Encuestas,Total Completas,Total Parciales,Nuevas Completas Hoy,Nuevas Parciales Hoy,Nuevas Completas D-1,Nuevas Parciales D-1,Nuevas Completas D-2,Nuevas Parciales D-2,Nuevas Completas D-3,Nuevas Parciales D-3,Nuevas Completas D-4,Nuevas Parciales D-4,Nuevas Completas D-5,Nuevas Parciales D-5,Nuevas Completas D-6,Nuevas Parciales D-6,Nuevas Completas D-7,Nuevas Parciales D-7,Nuevas Completas D-8,Nuevas Parciales D-8,Nuevas Completas D-9,Nuevas Parciales D-9
CPEIPS SAGRADO CORAZÓN,Profesorado,787933,153,100,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,53
IES DOCTOR LLUÍS SIMARRO LACABRA,Primaria,642363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES DOCTOR LLUÍS SIMARRO LACABRA,Secundaria,473452,278,236,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,42
IES DOCTOR LLUÍS SIMARRO LACABRA,Profesorado,782998,20,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9
COLEGIO SAN JOSÉ FUNDACIÓN LOYOLA,Primaria,131371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLEGIO SAN JOSÉ FUNDACIÓN LOYOLA,Secundaria,566416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLEGIO SAN JOSÉ FUNDACIÓN LOYOLA,Profesorado,223669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES PUÇOL ,Primaria,977343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES PUÇOL ,Secundaria,884549,1039,634,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,405
IES PUÇOL ,Profesorado,413422,70,45,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,25
CP FRANCISCO FERNÁNDEZ GONZALEZ,Primaria,973518,18,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
CP FRANCISCO FERNÁNDEZ GONZALEZ,Secundaria,813981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP FRANCISCO FERNÁNDEZ GONZALEZ,Profesorado,261254,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CEIP LEÓN FELIPE,Primaria,987788,84,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,4
CEIP LEÓN FELIPE,Secundaria,662688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP LEÓN FELIPE,Profesorado,956858,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
IES MANUEL SANCHIS GUARNER,Primaria,956551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES MANUEL SANCHIS GUARNER,Secundaria,962678,326,274,52,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,274,49
IES MANUEL SANCHIS GUARNER,Profesorado,135378,22,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10
COLEGIO MARISTAS CC VALLISOLETANO,Primaria,783595,134,72,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,62
COLEGIO MARISTAS CC VALLISOLETANO,Secundaria,414687,291,254,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,231,36
COLEGIO MARISTAS CC VALLISOLETANO,Profesorado,491678,57,33,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,24
CEIP AZAHAR,Primaria,763372,55,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,31
CEIP AZAHAR,Secundaria,811367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP AZAHAR,Profesorado,854193,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
CEIP VICENTE BLASCO IBÁÑEZ,Primaria,899776,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
CEIP VICENTE BLASCO IBÁÑEZ,Secundaria,884194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP VICENTE BLASCO IBÁÑEZ,Profesorado,952228,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
CEIP MIRALVALLE,Primaria,364149,78,71,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,7
CEIP MIRALVALLE,Secundaria,225675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP MIRALVALLE,Profesorado,953578,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
COLEGIO NUESTRA SEÑORA DE LA PROVIDENCIA ,Primaria,787721,89,73,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,15
COLEGIO NUESTRA SEÑORA DE LA PROVIDENCIA ,Secundaria,348226,120,104,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,16
COLEGIO NUESTRA SEÑORA DE LA PROVIDENCIA ,Profesorado,169538,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
CPES OTEITZA LIZEOA,Primaria,545196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPES OTEITZA LIZEOA,Secundaria,996175,75,42,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,33
CPES OTEITZA LIZEOA,Profesorado,596225,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CEIP VALEDEMEMBRA,Primaria,499995,63,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,29
CEIP VALEDEMEMBRA,Secundaria,214173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEIP VALEDEMEMBRA,Profesorado,834435,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
IES MAR AZUL,Primaria,485128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IES MAR AZUL,Secundaria,121525,188,112,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,112,75
IES MAR AZUL,Profesorado,122528,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
CEIP VIRGEN DE CRIPTANA,Primaria,797132,40,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4
CEIP VIRGEN DE CRIPTANA,Secundaria,969597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
